code,level,de,en,es,fr,it,nl
20.4,3,"Herstellung von Wasch-, Reinigungs- und Poliermitteln","Manufacture of washing, cleaning and polishing preparations","Fabricación de artículos de lavado, limpieza y abrillantamiento",Fabrication de savons et de produits d’entretien,"Fabbricazione di prodotti per il lavaggio, la pulizia e la lucidatura","Vervaardiging van was-, poets- en reinigingsmiddelen"
20.41,4,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln","Manufacture of soap and detergents, cleaning and polishing preparations","Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento","Fabrication de savons, détergents et produits d’entretien","Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura","Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen"
20.42,4,Herstellung von Körperpflegemitteln und Duftstoffen,Manufacture of perfumes and toilet preparations,Fabricación de productos de perfumería y cosmética,Fabrication de parfums et de produits pour la toilette,Fabbricazione di profumi e cosmetici,Vervaardiging van parfums en toiletartikelen
20.5,3,Herstellung von sonstigen chemischen Erzeugnissen,Manufacture of other chemical products,Fabricación de otros productos químicos,Fabrication d’autres produits chimiques,Fabbricazione di altri prodotti chimici,Vervaardiging van andere chemische producten
20.59,4,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.,Fabricación de otros productos químicos n.c.o.p.,Fabrication d’autres produits chimiques n.c.a.,Fabbricazione di altri prodotti chimici n.c.a.,"Vervaardiging van andere chemische producten, n.e.g."
20.59,4,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.,Fabricación de otros productos químicos n.c.o.p.,Fabrication d’autres produits chimiques n.c.a.,Fabbricazione di altri prodotti chimici n.c.a.,"Vervaardiging van andere chemische producten, n.e.g."
20.59,4,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.,Fabricación de otros productos químicos n.c.o.p.,Fabrication d’autres produits chimiques n.c.a.,Fabbricazione di altri prodotti chimici n.c.a.,"Vervaardiging van andere chemische producten, n.e.g."
20.59,4,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.,Fabricación de otros productos químicos n.c.o.p.,Fabrication d’autres produits chimiques n.c.a.,Fabbricazione di altri prodotti chimici n.c.a.,"Vervaardiging van andere chemische producten, n.e.g."
20.51,4,Herstellung von flüssigen Biokraftstoffen,Manufacture of liquid biofuels,Fabricación de biocombustibles líquidos,Fabrication de biocarburants liquides,Produzione di biocarburanti liquidi,Vervaardiging van vloeibare biobrandstoffen
20.6,3,Herstellung von Chemiefasern,Manufacture of man-made fibres,Fabricación de fibras artificiales y sintéticas,Fabrication de fibres artificielles ou synthétiques,Fabbricazione di fibre sintetiche e artificiali,Vervaardiging van synthetische en kunstmatige vezels
20.60,4,Herstellung von Chemiefasern,Manufacture of man-made fibres,Fabricación de fibras artificiales y sintéticas,Fabrication de fibres artificielles ou synthétiques,Fabbricazione di fibre sintetiche e artificiali,Vervaardiging van synthetische en kunstmatige vezels
21,2,Herstellung von pharmazeutischen Erzeugnissen,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Fabricación de productos farmacéuticos,Industrie pharmaceutique,Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,Vervaardiging van farmaceutische grondstoffen en producten
21.1,3,Herstellung von pharmazeutischen Grundstoffen,Manufacture of basic pharmaceutical products,Fabricación de productos farmacéuticos de base,Fabrication de produits pharmaceutiques de base,Fabbricazione di prodotti farmaceutici di base,Vervaardiging van farmaceutische grondstoffen
21.10,4,Herstellung von pharmazeutischen Grundstoffen,Manufacture of basic pharmaceutical products,Fabricación de productos farmacéuticos de base,Fabrication de produits pharmaceutiques de base,Fabbricazione di prodotti farmaceutici di base,Vervaardiging van farmaceutische grondstoffen
21.2,3,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,Manufacture of pharmaceutical preparations,Fabricación de especialidades farmacéuticas,Fabrication de préparations pharmaceutiques,Fabbricazione di medicinali e preparati farmaceutici,Vervaardiging van farmaceutische producten
21.20,4,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,Manufacture of pharmaceutical preparations,Fabricación de especialidades farmacéuticas,Fabrication de préparations pharmaceutiques,Fabbricazione di medicinali e preparati farmaceutici,Vervaardiging van farmaceutische producten
15,2,"Herstellung von Leder, Lederwaren und ähnlichen Produkten aus anderen Materialen",Manufacture of leather and related products of other materials,Industria del cuero y productos relacionados de otros materiales,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",Fabbricazione di pelli e cuoi e articoli in pelle e simili di altri materiali,"Vervaardiging van leer, lederwaren en soortgelijke producten van andere materialen"
22,2,Herstellung von Gummi- und Kunststoffwaren,Manufacture of rubber and plastic products,Fabricación de productos de caucho y plásticos,Fabrication de produits en caoutchouc et en plastique,Fabbricazione di prodotti in gomma e in materie plastiche,Vervaardiging van producten van rubber of kunststof
23,2,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden",Manufacture of other non-metallic mineral products,Fabricación de otros productos minerales no metálicos,Fabrication d’autres produits minéraux non métalliques,Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,Vervaardiging van andere niet-metaalhoudende minerale producten
15.2,3,Herstellung von Schuhen,Manufacture of footwear,Fabricación de calzado,Fabrication de chaussures,Fabbricazione di calzature,Vervaardiging van schoeisel
22.1,3,Herstellung von Gummiwaren,Manufacture of rubber products,Fabricación de productos de caucho,Fabrication de produits en caoutchouc,Fabbricazione di prodotti in gomma,Vervaardiging van producten van rubber
22.11,4,Herstellung und Runderneuerung von Bereifungen,"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes","Fabricación, recauchutado y reconstrucción de neumáticos de caucho y fabricación de cámaras",Fabrication et rechapage de pneus en caoutchouc et fabrication de chambres à air,"Fabbricazione, rigenerazione e ricostruzione di pneumatici e fabbricazione di camere d’aria",Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden
15.20,4,Herstellung von Schuhen,Manufacture of footwear,Fabricación de calzado,Fabrication de chaussures,Fabbricazione di calzature,Vervaardiging van schoeisel
22.12,4,Herstellung von sonstigen Gummiwaren,Manufacture of other rubber products,Fabricación de otros productos de caucho,Fabrication d’autres articles en caoutchouc,Fabbricazione di altri prodotti in gomma,Vervaardiging van andere producten van rubber
15.2,3,Herstellung von Schuhen,Manufacture of footwear,Fabricación de calzado,Fabrication de chaussures,Fabbricazione di calzature,Vervaardiging van schoeisel
22.2,3,Herstellung von Kunststoffwaren,Manufacture of plastic products,Fabricación de productos de plástico,Fabrication de produits en plastique,Fabbricazione di prodotti in materie plastiche,Vervaardiging van producten van kunststof
23.6,3,"Herstellung von Erzeugnissen aus Beton, Zement und Gips","Manufacture of articles of concrete, cement and plaster","Fabricación de elementos de hormigón, cemento y yeso","Fabrication d’ouvrages en béton, en ciment ou en plâtre","Fabbricazione di prodotti in calcestruzzo, cemento e gesso","Vervaardiging van artikelen van beton, cement en gips"
22.21,4,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","Manufacture of plastic plates, sheets, tubes and profiles","Fabricación de placas, hojas, tubos y perfiles de plástico","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche","Vervaardiging van platen, vellen, buizen en profielen van kunststof"
22.25,4,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products,Transformación y acabado de productos de plástico,Façonnage et finition de produits en matières plastiques,Lavorazione e finitura di prodotti in materie plastiche,Verwerking en afwerking van kunststofproducten
22.25,4,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products,Transformación y acabado de productos de plástico,Façonnage et finition de produits en matières plastiques,Lavorazione e finitura di prodotti in materie plastiche,Verwerking en afwerking van kunststofproducten
22.22,4,Herstellung von Verpackungsmitteln aus Kunststoffen,Manufacture of plastic packing goods,Fabricación de envases y embalajes de plástico,Fabrication d’emballages en matières plastiques,Fabbricazione di imballaggi in materie plastiche,Vervaardiging van verpakkingsmateriaal van kunststof
22.25,4,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products,Transformación y acabado de productos de plástico,Façonnage et finition de produits en matières plastiques,Lavorazione e finitura di prodotti in materie plastiche,Verwerking en afwerking van kunststofproducten
22.24,4,Herstellung von Baubedarfsartikeln aus Kunststoffen,Manufacture of builders’ ware of plastic,Fabricación de productos de plástico para la construcción,Fabrication d’éléments en matières plastiques pour la construction,Fabbricazione di articoli in materie plastiche per l’edilizia,Vervaardiging van kunststofartikelen voor de bouw
22.23,4,Herstellung von Türen und Fenstern aus Kunststoffen,Manufacture of doors and windows of plastic,Fabricación de puertas y ventanas de plástico,Fabrication de portes et fenêtres en matières plastiques,Fabbricazione di porte e finestre in materie plastiche,Vervaardiging van deuren en vensters van kunststof
23.66,4,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips","Manufacture of other articles of concrete, cement and plaster","Fabricación de otros productos de hormigón, yeso y cemento","Fabrication d’autres ouvrages en béton, en ciment ou en plâtre","Fabbricazione di altri prodotti in calcestruzzo, cemento e gesso","Vervaardiging van andere artikelen van beton, cement en gips"
15.20,4,Herstellung von Schuhen,Manufacture of footwear,Fabricación de calzado,Fabrication de chaussures,Fabbricazione di calzature,Vervaardiging van schoeisel
22.21,4,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","Manufacture of plastic plates, sheets, tubes and profiles","Fabricación de placas, hojas, tubos y perfiles de plástico","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche","Vervaardiging van platen, vellen, buizen en profielen van kunststof"
22.25,4,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products,Transformación y acabado de productos de plástico,Façonnage et finition de produits en matières plastiques,Lavorazione e finitura di prodotti in materie plastiche,Verwerking en afwerking van kunststofproducten
22.26,4,Herstellung von sonstigen Kunststoffwaren,Manufacture of other plastic products,Fabricación de otros productos de plástico,Fabrication d’autres articles en matières plastiques,Fabbricazione di altri prodotti in materie plastiche,Vervaardiging van andere producten van kunststof
23,2,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden",Manufacture of other non-metallic mineral products,Fabricación de otros productos minerales no metálicos,Fabrication d’autres produits minéraux non métalliques,Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,Vervaardiging van andere niet-metaalhoudende minerale producten
29,2,Herstellung von Kraftwagen und Kraftwagenteilen,"Manufacture of motor vehicles, trailers and semi-trailers","Fabricación de vehículos de motor, remolques y semirremolques",Industrie automobile,"Fabbricazione di autoveicoli, rimorchi e semirimorchi","Vervaardiging van motorvoertuigen, aanhangwagens en opleggers"
31,2,Herstellung von Möbeln,Manufacture of furniture,Fabricación de muebles,Fabrication de meubles,Fabbricazione di mobili,Vervaardiging van meubelen
23.1,3,Herstellung von Glas und Glaswaren,Manufacture of glass and glass products,Fabricación de vidrio y productos de vidrio,Fabrication de verre et d’articles en verre,Fabbricazione di vetro e di prodotti in vetro,Vervaardiging van glas en glaswerk
29.3,3,Herstellung von Teilen und Zubehör für Kraftwagen,Manufacture of motor vehicle parts and accessories,Fabricación de repuestos y accesorios de vehículos de motor,Fabrication d’équipements automobiles,Fabbricazione di parti e accessori per autoveicoli,Vervaardiging van delen en toebehoren voor motorvoertuigen
23.11,4,Herstellung von Flachglas,Manufacture of flat glass,Fabricación de vidrio plano,Fabrication de verre plat,Fabbricazione di vetro piano,Vervaardiging van vlakglas
23.12,4,Veredlung und Bearbeitung von Flachglas,Shaping and processing of flat glass,Manipulado y transformación de vidrio plano,Façonnage et transformation du verre plat,Lavorazione e trasformazione del vetro piano,Vormen en bewerken van vlakglas
29.32,4,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen,Manufacture of other parts and accessories for motor vehicles,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",Fabrication d’autres équipements automobiles,Fabbricazione di altre parti e accessori per autoveicoli,Vervaardiging van andere delen en toebehoren voor motorvoertuigen
23.13,4,Herstellung von Hohlglas,Manufacture of hollow glass,Fabricación de vidrio hueco,Fabrication de verre creux,Fabbricazione di vetro cavo,Vervaardiging van holglas
23.14,4,Herstellung von Glasfasern und Waren daraus,Manufacture of glass fibres,Fabricación de fibra de vidrio,Fabrication de fibres de verre,Fabbricazione di fibre di vetro,Vervaardiging van glasvezels
23.15,4,"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren","Manufacture and processing of other glass, including technical glassware","Fabricación y manipulado de otro vidrio, incluido el vidrio técnico","Fabrication et façonnage d’autres articles en verre, y compris verre technique",Fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici,"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk"
23.2,3,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Manufacture of refractory products,Fabricación de productos cerámicos refractarios,Fabrication de produits réfractaires,Fabbricazione di prodotti refrattari,Vervaardiging van vuurvaste producten
23.20,4,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Manufacture of refractory products,Fabricación de productos cerámicos refractarios,Fabrication de produits réfractaires,Fabbricazione di prodotti refrattari,Vervaardiging van vuurvaste producten
23.3,3,Herstellung von keramischen Baumaterialien,Manufacture of clay building materials,Fabricación de productos cerámicos para la construcción,Fabrication de matériaux de construction en terre cuite,Fabbricazione di materiali da costruzione in terracotta,"Vervaardiging van producten voor de bouw, van klei"
23.31,4,Herstellung von keramischen Wand- und Bodenfliesen und -platten,Manufacture of ceramic tiles and flags,Fabricación de azulejos y baldosas de cerámica,Fabrication de carreaux en céramique,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,Vervaardiging van keramische tegels en plavuizen
23.32,4,Herstellung von Ziegeln und sonstiger Baukeramik,"Manufacture of bricks, tiles and construction products, in baked clay","Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción","Fabrication de briques, tuiles et produits de construction, en terre cuite","Fabbricazione di mattoni, tegole e altri prodotti per l’edilizia in terracotta","Vervaardiging van bakstenen, tegels en producten voor de bouw, van gebakken klei"
23.4,3,Herstellung von sonstigen Porzellan- und keramischen Erzeugnissen,Manufacture of other porcelain and ceramic products,Fabricación de otros productos cerámicos,Fabrication d’autres produits en céramique et en porcelaine,Fabbricazione di altri prodotti in porcellana e in ceramica,Vervaardiging van andere keramische producten
31.0,3,Herstellung von Möbeln,Manufacture of furniture,Fabricación de muebles,Fabrication de meubles,Fabbricazione di mobili,Vervaardiging van meubelen
23.41,4,Herstellung von keramischen Haushaltswaren und Ziergegenständen,Manufacture of ceramic household and ornamental articles,Fabricación de artículos cerámicos de uso doméstico y ornamental,Fabrication d’articles céramiques à usage domestique ou ornemental,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali,Vervaardiging van huishoudelijk en sieraardewerk
23.42,4,Herstellung von Sanitärkeramik,Manufacture of ceramic sanitary fixtures,Fabricación de aparatos sanitarios cerámicos,Fabrication d’appareils sanitaires en céramique,Fabbricazione di articoli sanitari in ceramica,Vervaardiging van sanitair aardewerk
31.00,4,Herstellung von Möbeln,Manufacture of furniture,Fabricación de muebles,Fabrication de meubles,Fabbricazione di mobili,Vervaardiging van meubelen
23.43,4,Herstellung von Isolatoren und Isolierteilen aus Keramik,Manufacture of ceramic insulators and insulating fittings,Fabricación de aisladores y piezas aislantes de material cerámico,Fabrication d’isolateurs et pièces isolantes en céramique,Fabbricazione di isolatori e di pezzi isolanti in ceramica,"Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen"
23.44,4,Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke,Manufacture of other technical ceramic products,Fabricación de otros productos cerámicos de uso técnico,Fabrication d’autres produits céramiques à usage technique,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale,Vervaardiging van ander technisch aardewerk
23.45,4,Herstellung von sonstigen keramischen Erzeugnissen,Manufacture of other ceramic products,Fabricación de otros productos cerámicos,Fabrication d’autres produits céramiques,Fabbricazione di altri prodotti in ceramica,Vervaardiging van andere keramische producten
23.5,3,"Herstellung von Zement, Kalk und gebranntem Gips","Manufacture of cement, lime and plaster","Fabricación de cemento, cal y yeso","Fabrication de ciment, chaux et plâtre","Produzione di cemento, calce e gesso","Vervaardiging van cement, kalk en gips"
23.51,4,Herstellung von Zement,Manufacture of cement,Fabricación de cemento,Fabrication de ciment,Produzione di cemento,Vervaardiging van cement
23.52,4,Herstellung von Kalk und gebranntem Gips,Manufacture of lime and plaster,Fabricación de cal y yeso,Fabrication de chaux et plâtre,Produzione di calce e gesso,Vervaardiging van kalk en gips
23.6,3,"Herstellung von Erzeugnissen aus Beton, Zement und Gips","Manufacture of articles of concrete, cement and plaster","Fabricación de elementos de hormigón, cemento y yeso","Fabrication d’ouvrages en béton, en ciment ou en plâtre","Fabbricazione di prodotti in calcestruzzo, cemento e gesso","Vervaardiging van artikelen van beton, cement en gips"
23.61,4,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau",Manufacture of concrete products for construction purposes,Fabricación de elementos de hormigón para la construcción,Fabrication d’éléments en béton pour la construction,Fabbricazione di prodotti in calcestruzzo per l’edilizia,Vervaardiging van artikelen van beton voor de bouw
23.62,4,Herstellung von Gipserzeugnissen für den Bau,Manufacture of plaster products for construction purposes,Fabricación de elementos de yeso para la construcción,Fabrication d’éléments en plâtre pour la construction,Fabbricazione di prodotti in gesso per l’edilizia,Vervaardiging van artikelen van gips voor de bouw
23.63,4,"Herstellung von Frischbeton, Transportbeton",Manufacture of ready-mixed concrete,Fabricación de hormigón fresco,Fabrication de béton prêt à l’emploi,Produzione di calcestruzzo pronto per l’uso,Vervaardiging van stortklare beton
23.64,4,"Herstellung von Mörtel und sonstigem Beton, ohne Frischbeton",Manufacture of mortars,Fabricación de mortero,Fabrication de mortiers et de bétons secs,Produzione di malta,Vervaardiging van mortel
23.65,4,Herstellung von Faserzementwaren,Manufacture of fibre cement,Fabricación de fibrocemento,Fabrication d’ouvrages en fibre-ciment,Fabbricazione di prodotti in fibrocemento,Vervaardiging van producten van vezelcement
23.66,4,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips","Manufacture of other articles of concrete, cement and plaster","Fabricación de otros productos de hormigón, yeso y cemento","Fabrication d’autres ouvrages en béton, en ciment ou en plâtre","Fabbricazione di altri prodotti in calcestruzzo, cemento e gesso","Vervaardiging van andere artikelen van beton, cement en gips"
23.7,3,Be- und Verarbeitung von Naturwerksteinen und Natursteinen,"Cutting, shaping and finishing of stone","Corte, tallado y acabado de la piedra","Taille, façonnage et finissage de pierres","Taglio, modellatura e finitura di pietre","Houwen, bewerken en afwerken van natuursteen"
23.70,4,Be- und Verarbeitung von Naturwerksteinen und Natursteinen,"Cutting, shaping and finishing of stone","Corte, tallado y acabado de la piedra","Taille, façonnage et finissage de pierres","Taglio, modellatura e finitura di pietre","Houwen, bewerken en afwerken van natuursteen"
23.9,3,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage sowie sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Manufacture of abrasive products and non-metallic mineral products n.e.c.,Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.,Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.,Fabbricazione di prodotti abrasivi e in minerali non metalliferi n.c.a.,Vervaardiging van andere schuurmiddelen en niet-metaalhoudende minerale producten n.e.g.
23.91,4,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage,Manufacture of abrasive products,Fabricación de productos abrasivos,Fabrication de produits abrasifs,Fabbricazione di prodotti abrasivi,Vervaardiging van schuurmiddelen
23.99,4,Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Manufacture of other non-metallic mineral products n.e.c.,Fabricación de otros productos minerales no metálicos n.c.o.p.,Fabrication d’autres produits minéraux non métalliques n.c.a.,Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g."
24,2,Metallerzeugung und -bearbeitung,Manufacture of basic metals,Metalurgia,Métallurgie,Fabbricazione di metalli di base,Vervaardiging van metalen in primaire vorm
24.1,3,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Manufacture of basic iron and steel and of ferro-alloys,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",Sidérurgie,"Fabbricazione di ferro, acciaio e ferroleghe",Vervaardiging van ijzer en staal en van ferrolegeringen
24.10,4,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Manufacture of basic iron and steel and of ferro-alloys,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",Sidérurgie,"Fabbricazione di ferro, acciaio e ferroleghe",Vervaardiging van ijzer en staal en van ferrolegeringen
24.2,3,"Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Fabbricazione di tubi, condotti, profilati cavi e relativi raccordi in acciaio","Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal"
24.20,4,"Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Fabbricazione di tubi, condotti, profilati cavi e relativi raccordi in acciaio","Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal"
24.3,3,Sonstige erste Bearbeitung von Eisen und Stahl,Manufacture of other products of first processing of steel,Fabricación de otros productos de primera transformación del acero,Fabrication d’autres produits de première transformation de l’acier,Fabbricazione di altri prodotti della prima trasformazione dell’acciaio,Vervaardiging van andere producten van de eerste verwerking van staal
24.31,4,Herstellung von Blankstahl,Cold drawing of bars,Estirado en frío,Étirage à froid de barres,Trafilatura a freddo di barre,Koudtrekken van staven
24.32,4,Herstellung von Kaltband mit einer Breite von weniger als 600 mm,Cold rolling of narrow strip,Laminado en frío,Laminage à froid de feuillards,Laminazione a freddo di nastri,Koudwalsen van bandstaal
24.33,4,Herstellung von Kaltprofilen,Cold forming or folding,Producción de perfiles en frío por conformación con plegado,Profilage à froid par formage ou pliage,Profilatura mediante formatura o piegatura a freddo,Koudvervormen of koudfelsen
24.34,4,Herstellung von kaltgezogenem Draht,Cold drawing of wire,Trefilado en frío,Tréfilage à froid,Trafilatura a freddo di fili,Koudtrekken van draad
24.4,3,Erzeugung und erste Bearbeitung von NE-Metallen,Manufacture of basic precious and other non-ferrous metals,Producción de metales preciosos y de otros metales no férreos,Production de métaux précieux et d’autres métaux non ferreux,Produzione di metalli preziosi di base e di altri metalli non ferrosi,Productie van edelmetalen en van andere non-ferrometalen
24.41,4,Erzeugung und erste Bearbeitung von Edelmetallen,Precious metals production,Producción de metales preciosos,Production de métaux précieux,Produzione di metalli preziosi,Productie van edelmetalen
24.42,4,Erzeugung und erste Bearbeitung von Aluminium,Aluminium production,Producción de aluminio,Métallurgie de l’aluminium,Produzione di alluminio,Productie van aluminium
24.43,4,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","Lead, zinc and tin production","Producción de plomo, zinc y estaño","Métallurgie du plomb, du zinc ou de l’étain","Produzione di piombo, zinco e stagno","Productie van lood, zink en tin"
24.44,4,Erzeugung und erste Bearbeitung von Kupfer,Copper production,Producción de cobre,Métallurgie du cuivre,Produzione di rame,Productie van koper
24.45,4,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen,Other non-ferrous metal production,Producción de otros metales no férreos,Métallurgie des autres métaux non ferreux,Produzione di altri metalli non ferrosi,Productie van andere non-ferrometalen
24.46,4,Aufbereitung von Kernbrennstoffen,Processing of nuclear fuel,Procesamiento de combustibles nucleares,Élaboration et transformation de matières nucléaires,Trattamento di combustibili nucleari,Bewerking van splijt- en kweekstoffen
24.5,3,Gießereien,Casting of metals,Fundición de metales,Fonderie,Fusione di getti in metallo,Gieten van metalen
24.51,4,Eisengießereien,Casting of iron,Fundición de hierro,Fonderie de fonte,Fusione di getti in ghisa,Gieten van ijzer
24.52,4,Stahlgießereien,Casting of steel,Fundición de acero,Fonderie d’acier,Fusione di getti in acciaio,Gieten van staal
24.53,4,Leichtmetallgießereien,Casting of light metals,Fundición de metales ligeros,Fonderie de métaux légers,Fusione di getti in metalli leggeri,Gieten van lichte metalen
24.54,4,Buntmetallgießereien,Casting of other non-ferrous metals,Fundición de otros metales no férreos,Fonderie d’autres métaux non ferreux,Fusione di getti in altri metalli non ferrosi,Gieten van andere non-ferrometalen
24.54,4,Buntmetallgießereien,Casting of other non-ferrous metals,Fundición de otros metales no férreos,Fonderie d’autres métaux non ferreux,Fusione di getti in altri metalli non ferrosi,Gieten van andere non-ferrometalen
25,2,Herstellung von Metallerzeugnissen,"Manufacture of fabricated metal products, except machinery and equipment","Fabricación de productos metálicos, excepto maquinaria y equipo","Fabrication de produits métalliques, à l’exception des machines et des équipements","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","Vervaardiging van producten van metaal, exclusief machines en apparatuur"
28,2,Maschinenbau a. n. g.,Manufacture of machinery and equipment n.e.c.,Fabricación de maquinaria y equipo n.c.o.p.,Fabrication de machines et équipements n.c.a.,Fabbricazione di macchinari e apparecchiature n.c.a.,"Vervaardiging van machines, apparaten en werktuigen, n.e.g"
25.1,3,Stahl- und Leichtmetallbau,Manufacture of structural metal products,Fabricación de elementos metálicos para la construcción,Fabrication d’éléments en métal pour la construction,Fabbricazione di elementi da costruzione in metallo,Vervaardiging van metalen constructiewerken
25.11,4,Herstellung von Metallkonstruktionen,Manufacture of metal structures and parts of structures,Fabricación de estructuras metálicas y sus componentes,Fabrication de structures métalliques et de parties de structures,Fabbricazione di strutture metalliche e di parti di strutture metalliche,Vervaardiging van metalen constructiewerken en delen daarvan
25.12,4,Herstellung von Ausbauelementen aus Metall,Manufacture of doors and windows of metal,Fabricación de puertas y ventanas de metal,Fabrication de portes et fenêtres en métal,Fabbricazione di porte e finestre in metallo,Vervaardiging van metalen deuren en vensters
25.2,3,Herstellung von Metalltanks und -behältern,"Manufacture of tanks, reservoirs and containers of metal","Fabricación de cisternas, grandes depósitos y contenedores de metal","Fabrication de réservoirs, citernes et conteneurs métalliques","Fabbricazione di cisterne, serbatoi e contenitori in metallo","Vervaardiging van tanks, reservoirs en bergingsmiddelen, van metaal"
28.2,3,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen,Manufacture of other general-purpose machinery,Fabricación de otra maquinaria de uso general,Fabrication d’autres machines d’usage général,Fabbricazione di altre macchine di impiego generale,Vervaardiging van andere machines en apparaten voor algemeen gebruik
25.21,4,"Herstellung von Heizkörpern, Dampfkesseln und Kesseln zum Erzeugen von überhitztem Wasser","Manufacture of central heating radiators, steam generators and boilers","Fabricación de radiadores, generadores de vapor y calderas para calefacción central",Fabrication de radiateurs et de chaudières pour le chauffage central,"Fabbricazione di radiatori, generatori di vapore e contenitori in metallo per caldaie per il riscaldamento centrale",Vervaardiging van radiatoren en ketels voor centrale verwarming
